vertices;density;time;
20;25;0.8115;
40;25;5.06738;
60;25;17.4266;
80;25;45.2351;
100;25;98.5459;
20;50;1.29335;
40;50;9.80033;
60;50;42.0834;
80;50;104.729;
100;50;220.502;
20;75;1.84495;
40;75;14.791;
60;75;63.1182;
80;75;152.829;
100;75;336.316;
20;99;2.37303;
40;99;20.8492;
60;99;84.949;
80;99;215.74;
100;99;519.439;
