vertices;density;time;
20;25;3.1241;
40;25;30.028;
60;25;126.29;
80;25;372.094;
100;25;868.793;
20;50;7.9883;
40;50;89.7816;
60;50;427.85;
80;50;1347.07;
100;50;3225.93;
20;75;16.4373;
40;75;199.559;
60;75;902.533;
80;75;2886.8;
100;75;7407.2;
20;99;23.4291;
40;99;301.006;
60;99;1531.23;
80;99;5150.66;
100;99;13335.3;
