vertices;density;time;
20;25;1.3878;
40;25;5.83664;
60;25;13.2291;
80;25;25.8505;
100;25;43.2822;
20;50;2.50023;
40;50;11.8294;
60;50;31.4066;
80;50;65.7598;
100;50;114.958;
20;75;3.9989;
40;75;20.2419;
60;75;57.5614;
80;75;118.542;
100;75;214.733;
20;99;5.55637;
40;99;29.9163;
60;99;84.9733;
80;99;183.519;
100;99;329.602;
