vertices;density;time;
20;25;7.9582;
40;25;93.4551;
60;25;412.82;
80;25;1274.2;
100;25;3091.61;
20;50;22.822;
40;50;309.019;
60;50;1530.98;
80;50;4930.61;
100;50;12615.5;
20;75;44.9201;
40;75;668.238;
60;75;3719.17;
80;75;11391.3;
100;75;27694.6;
20;99;75.3708;
40;99;1101.48;
60;99;5755.62;
80;99;19377.4;
100;99;52710.3;
