vertices;density;time;
20;25;1.1569;
40;25;5.21992;
60;25;12.4149;
80;25;24.572;
100;25;41.9999;
20;50;2.1704;
40;50;10.9229;
60;50;30.078;
80;50;64.3284;
100;50;113.049;
20;75;3.4394;
40;75;19.0274;
60;75;56.0045;
80;75;116.017;
100;75;209.417;
20;99;4.86244;
40;99;28.4705;
60;99;82.3066;
80;99;179.006;
100;99;323.107;
