vertices;density;time;
20;25;9.9069;
40;25;107.179;
60;25;463.187;
80;25;1420.39;
100;25;3441;
20;50;26.9485;
40;50;344.895;
60;50;1664.63;
80;50;5350.78;
100;50;13432;
20;75;51.3442;
40;75;751.665;
60;75;3864.6;
80;75;12025.8;
100;75;29760.5;
20;99;85.0767;
40;99;1178.38;
60;99;6186.33;
80;99;20989.8;
100;99;53359.9;
