vertices;density;time;
10;25;0.8419;
20;25;7.8515;
30;25;31.6918;
40;25;88.762;
50;25;203.804;
10;50;2.258;
20;50;23.098;
30;50;104.454;
40;50;305.221;
50;50;742.345;
10;75;3.9526;
20;75;45.1453;
30;75;210.514;
40;75;677.204;
50;75;1602.8;
10;99;5.8359;
20;99;72.799;
30;99;350.382;
40;99;1108.79;
50;99;2795.97;
