vertices;density;time;
10;25;0.3277;
20;25;1.11743;
30;25;3.15871;
40;25;4.92372;
50;25;8.05469;
10;50;0.519905;
20;50;2.19355;
30;50;5.46702;
40;50;10.996;
50;50;19.0266;
10;75;0.711703;
20;75;3.39267;
30;75;9.30684;
40;75;19.399;
50;75;38.5124;
10;99;0.957951;
20;99;6.1913;
30;99;14.7219;
40;99;29.7254;
50;99;54.3922;
