vertices;density;time;
10;25;0.5952;
20;25;4.339;
30;25;14.9938;
40;25;38.9572;
50;25;79.5776;
10;50;1.3206;
20;50;10.5763;
30;50;39.2852;
40;50;111.377;
50;50;243.476;
10;75;2.0868;
20;75;18.7203;
30;75;75.0629;
40;75;213.602;
50;75;494.729;
10;99;3.052;
20;99;29.1303;
30;99;120.156;
40;99;344.827;
50;99;804.865;
