vertices;density;time;
10;25;0.2625;
20;25;0.765026;
30;25;2.16948;
40;25;5.08132;
50;25;9.84091;
10;50;0.256884;
20;50;1.38493;
30;50;4.14154;
40;50;9.76891;
50;50;20.0821;
10;75;0.318008;
20;75;1.91123;
30;75;6.19539;
40;75;15.7042;
50;75;33.5033;
10;99;0.40505;
20;99;2.32744;
30;99;7.95103;
40;99;21.2297;
50;99;46.3008;
