vertices;density;time;
10;25;1.1374;
20;25;9.8794;
30;25;37.4488;
40;25;101.381;
50;25;229.408;
10;50;2.9126;
20;50;27.4115;
30;50;118.381;
40;50;340.606;
50;50;823.827;
10;75;5.062;
20;75;52.5383;
30;75;232.514;
40;75;752.026;
50;75;1729.98;
10;99;7.2289;
20;99;81.8322;
30;99;381.097;
40;99;1188.69;
50;99;2958.05;
